spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size
8,24,161,29,FALSE,505,0.75,0.75,65,FALSE,65,550,505,3,0.5,65,lzf,65,65,FALSE,68,65,275,260,5,FALSE,FALSE,FALSE,FALSE,org.apache.spark.serializer.KryoSerializer,131955,bayes,application_1571909827663_0105,bigdata_half
4,14,90,39,FALSE,752,0.875,0.625,96,TRUE,96,325,752,4,0.25,96,snappy,96,33,FALSE,98,96,162,140,3,TRUE,FALSE,FALSE,TRUE,org.apache.spark.serializer.KryoSerializer,135366,bayes,application_1571909827663_0106,bigdata_half
12,33,232,18,TRUE,257,0.625,0.875,33,FALSE,33,775,257,2,0.75,33,lz4,33,96,TRUE,38,33,387,380,7,FALSE,TRUE,TRUE,FALSE,org.apache.spark.serializer.JavaSerializer,146191,bayes,application_1571909827663_0107,bigdata_half
6,9,54,44,FALSE,628,0.9375,0.9375,17,TRUE,80,662,133,2.5,0.375,49,lzf,112,112,TRUE,83,49,331,80,4,FALSE,TRUE,TRUE,FALSE,org.apache.spark.serializer.KryoSerializer,104868,bayes,application_1571909827663_0108,bigdata_half
14,28,197,23,TRUE,133,0.6875,0.6875,80,FALSE,17,212,628,4.5,0.875,112,snappy,49,49,FALSE,23,112,106,320,8,TRUE,FALSE,FALSE,TRUE,org.apache.spark.serializer.JavaSerializer,133389,bayes,application_1571909827663_0109,bigdata_half
2,19,125,13,FALSE,381,0.5625,0.8125,112,FALSE,49,887,876,3.5,0.125,80,lz4,17,80,TRUE,53,80,443,200,2,TRUE,TRUE,TRUE,TRUE,org.apache.spark.serializer.JavaSerializer,191918,bayes,application_1571909827663_0110,bigdata_half
10,38,268,34,TRUE,876,0.8125,0.5625,49,TRUE,112,437,381,1.5,0.625,17,lzf,80,17,FALSE,113,17,218,440,6,FALSE,FALSE,FALSE,FALSE,org.apache.spark.serializer.KryoSerializer,145688,bayes,application_1571909827663_0111,bigdata_half
5,26,72,10,FALSE,814,0.96875,0.90625,88,FALSE,25,268,71,1.25,0.0625,25,lz4,72,25,TRUE,45,88,471,350,7,FALSE,FALSE,FALSE,TRUE,org.apache.spark.serializer.KryoSerializer,179866,bayes,application_1571909827663_0112,bigdata_half
13,7,214,31,TRUE,319,0.71875,0.65625,25,TRUE,88,718,566,3.25,0.5625,88,snappy,9,88,FALSE,105,25,246,110,2,TRUE,TRUE,TRUE,FALSE,org.apache.spark.serializer.JavaSerializer,130807,bayes,application_1571909827663_0113,bigdata_half
1,35,143,42,FALSE,71,0.59375,0.78125,57,TRUE,120,493,814,4.25,0.3125,120,lzf,41,57,TRUE,75,57,359,470,9,TRUE,FALSE,FALSE,FALSE,org.apache.spark.serializer.JavaSerializer,635167,bayes,application_1571909827663_0114,bigdata_half
