spark.shuffle.spill.compress,spark.memory.offHeap.enabled,spark.shuffle.compress,spark.speculation,spark.broadcast.compress,spark.rdd.compress,spark.kryo.referenceTracking,spark.io.compression.codec,spark.serializer,spark.executor.instances,spark.executor.cores,spark.executor.memory,hibench.default.map.parallelism,MB.spark.memory.offHeap.size,Size.spark.shuffle.file.buffer,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,MB.spark.broadcast.blockSize,Size.spark.io.compression.lz4.blockSize,Size.spark.io.compression.snappy.blockSize,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.memory.storageFraction,spark.memory.fraction,spark.speculation.multiplier,spark.speculation.quantile,
false,false,lzf,lzf,false,false,98,98,7,7,21,21,117,117,true,true,104,104,10,10,true,true,false,false,869,869,121,121,true,true,922,922,86,86,9,9,0.992417966135,0.992417966135,154,154,123,123,4,4,true,true,0.611508582891,0.611508582891,0.965341450128,0.965341450128,74,74,366,366,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,960,960,4.61676277087,4.61676277087,,228110,bayes,application_1543991612114_0014,bigdata
false,false,lzf,lzf,true,true,113,113,1,1,6,6,113,113,true,true,122,122,9,9,true,true,false,false,829,829,204,204,true,true,434,434,23,23,37,37,0.545203179209,0.545203179209,424,424,128,128,5,5,true,true,0.884903208424,0.884903208424,0.592118030188,0.592118030188,21,21,476,476,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,569,569,1.15305813794,1.15305813794,,223527,bayes,application_1543991612114_0015,bigdata
false,false,lzf,lzf,true,true,77,77,9,9,29,29,112,112,false,false,49,49,6,6,true,true,true,true,675,675,94,94,false,false,289,289,103,103,38,38,0.548055245236,0.548055245236,247,247,125,125,9,9,true,true,0.519930465319,0.519930465319,0.740231847809,0.740231847809,68,68,315,315,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,866,866,4.60775752019,4.60775752019,,179265,bayes,application_1543991612114_0016,bigdata
41,41,snappy,snappy,false,false,114,114,6,6,true,true,111,111,true,true,27,27,5,5,false,false,true,true,103,103,56,56,true,true,778,778,64,64,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,0.513095515167,0.513095515167,57,57,104,104,83,83,false,false,0.676715546558,0.676715546558,0.514731493041,0.514731493041,14,14,276,276,32,32,386,386,1.51726691477,1.51726691477,,294749,bayes,application_1543991612114_0017,bigdata
18,18,lz4,lz4,false,false,48,48,1,1,false,false,30,30,false,false,64,64,14,14,false,false,true,true,884,884,119,119,false,false,818,818,98,98,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,0.931838930384,0.931838930384,296,296,88,88,69,69,true,true,0.679355743091,0.679355743091,0.209086471972,0.209086471972,52,52,184,184,17,17,54,54,1.8360510898,1.8360510898,,198418,bayes,application_1543991612114_0018,bigdata
17,17,snappy,snappy,true,true,17,17,4,4,true,true,117,117,false,false,64,64,6,6,false,false,false,false,403,403,27,27,false,false,825,825,23,23,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,0.882562219254,0.882562219254,168,168,36,36,84,84,false,false,0.773092133503,0.773092133503,0.896364317314,0.896364317314,119,119,207,207,14,14,38,38,1.22216503296,1.22216503296,,474504,bayes,application_1543991612114_0019,bigdata
true,true,lz4,lz4,false,false,85,85,2,2,28,28,128,128,false,false,36,36,3,3,true,true,true,true,483,483,112,112,false,false,724,724,60,60,15,15,0.691671937604,0.691671937604,368,368,96,96,37,37,false,false,0.501625054976,0.501625054976,0.00436525030622,0.00436525030622,61,61,198,198,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,478,478,2.71879012689,2.71879012689,,173886,bayes,application_1543991612114_0020,bigdata
true,true,snappy,snappy,false,false,28,28,6,6,40,40,11,11,false,false,102,102,5,5,true,true,false,false,24,24,252,252,true,true,482,482,74,74,26,26,0.965195749919,0.965195749919,153,153,57,57,120,120,true,true,0.760431907222,0.760431907222,0.886643691935,0.886643691935,20,20,116,116,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,421,421,4.49897434732,4.49897434732,,220150,bayes,application_1543991612114_0021,bigdata
true,true,lz4,lz4,false,false,122,122,10,10,11,11,12,12,true,true,32,32,13,13,false,false,true,true,113,113,224,224,true,true,740,740,56,56,28,28,0.806003311272,0.806003311272,326,326,45,45,105,105,true,true,0.867224868976,0.867224868976,0.515338525365,0.515338525365,58,58,50,50,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,987,987,2.04889852297,2.04889852297,,222967,bayes,application_1543991612114_0022,bigdata
true,true,snappy,snappy,true,true,110,110,3,3,33,33,88,88,true,true,117,117,11,11,true,true,true,true,979,979,190,190,true,true,338,338,111,111,29,29,0.917784983999,0.917784983999,393,393,84,84,64,64,false,false,0.672486681873,0.672486681873,0.0156243404623,0.0156243404623,128,128,432,432,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,814,814,2.91127936609,2.91127936609,,228661,bayes,application_1543991612114_0023,bigdata
