avgExecutorRunTime , avgexecutorCpuTime , InputBytes , avgShuffleReadBytes ,avgShuffleWriteBytes , avgMemoryBytesSpilled ,avgDiskBytesSpilled ,avgExecutorDeserializeTime , avgExecutorDeserializeCPUTime ,avgResultSize , numberOfStages,avgGCTime ,avgOutSize , avgResultSerTime , avgInputRecordsRead, avgOutputRecordsWritten, avgShuffleRemoteBlocksFetched, avgShuffleLocalBlocksFetched, avgShuffleFetchWaitTime, avgShuffleRemoteBytesRead , avgShuffleTotalBlocksFetched ,avgShuffleWriteTime,avgShuffleWriteRecords ,avgShuffleReadRecords , AppId , Exec_time
68198.5,2.35E+09,1.34E+08,1285682.5,7817,0,0,122.5,1.74E+07,2488,2,389,689.5,0.5,99918.5,21.5,1687,372.5,709,1051972,1924,252125,500,82732,application_1562860412721_3936,2191387
79017,2.46E+09,1.34E+08,2936005.5,7327.5,0,0,136,1.15E+07,2734,2,295,1604,1,99918.5,52.5,1495.5,752,1000.5,1975702.5,1924,157184,500,202020,application_1562860412721_4019,2274222
21755,2.39E+09,1.34E+08,1572814.5,7827.5,0,0,128,1.91E+07,2746,2,129,837,1,99918.5,27.5,1802,136,1869.5,1467375,1924,222398,500,105820,application_1562860412721_4104,1902349
40461,2.10E+09,1.34E+08,929235,8173,0,0,163.5,1.30E+07,2489,2,130.5,492,0.5,99918.5,15,1420.5,712.5,1057.5,686057.5,1924,255167.5,500,57720,application_1562860412721_4175,1964801
72792,2.40E+09,1.34E+08,3208620,6751,0,0,131.5,1.75E+07,2455,2,294,1886.5,0.5,99918.5,61,1719,383,922.5,2662547,1924,167822.5,500,234728,application_1562860412721_4235,2238216
60038,2.43E+09,1.34E+08,1353663.5,7827.5,0,0,160,1.27E+07,2753,2,134.5,710,2,99918.5,22.5,1419,712,356,998391,1924,203665,500,86580,application_1562860412721_4332,2099530
88595,2.28E+09,1.34E+08,920985.5,7327.5,0,0,110,1.56E+07,2765,2,187,530,1.5,99918.5,16.5,1841.5,159.5,1357.5,853033.5,1924,272252.5,500,63492,application_1562860412721_4407,2261972
12920,2.25E+09,1.34E+08,1865784,7156.5,0,0,193.5,1.46E+07,2476,2,98.5,1058.5,1.5,99918.5,33.5,1338.5,670,240.5,1215966,1924,170780.5,500,128908,application_1562860412721_4576,1829283
34214,1.94E+09,1.34E+08,854418,8053.5,0,0,124,1.43E+07,2769,2,254.5,453.5,1,99918.5,14,1683.5,365.5,1096.5,698027.5,1924,264242,500,53872,application_1562860412721_4679,1991237
15318.5,2.25E+09,1.34E+08,1411309.5,7327.5,0,0,119.5,1.23E+07,2471,2,106,777.5,0.5,99918.5,24.5,1334.5,669.5,659.5,960005,1924,182370,500,94276,application_1562860412721_4808,1889996
124574.5,2.50E+09,1.34E+08,2367038,7827.5,0,0,192.5,1.87E+07,2471,2,515,1200.5,0.5,99918.5,38,1786.5,267.5,733.5,2193581,1924,192531,500,146224,application_1562860412721_4882,2662962
79680.5,2.51E+09,1.34E+08,1129688,8007,0,0,194,1.33E+07,2759,2,246.5,601.5,1,99918.5,19,1484,751.5,819,705804,1924,254169.5,500,73112,application_1562860412721_5009,2299152
4816.5,2.10E+09,1.34E+08,2549136.5,6951.5,0,0,236.5,1.29E+07,2735,2,21,1494.5,1,99918.5,49,1300,676,947.5,1722425,1924,141293.5,500,188552,application_1562860412721_5154,1193143
152821.5,1.94E+09,1.34E+08,1111369,7327.5,0,0,299,1.70E+07,2479,2,633.5,617,0.5,99918,19,1786.5,271.5,1191,954575,1924,210141.5,500,73112,application_1562860412721_5215,4278360
79474.5,2.33E+09,1.34E+08,915306,7827.5,0,0,102.5,1.48E+07,2500,2,404,477,0.5,99918.5,14.5,1686,373,954,739421,1924,264037.5,500,55796,application_1562860412721_5461,2234941
224824,2.21E+09,1.34E+08,1514567.5,7651.5,0,0,1056,2.66E+07,2747,2,943.5,823.5,9.5,99918.5,26.5,1864.5,125.5,1268.5,1467686.5,1924,237760.5,500,101972,application_1562860412721_5583,2854365
11914.5,2.03E+09,1.34E+08,859866,8320.5,0,0,160,1.34E+07,2495,2,102.5,473,0.5,99918.5,14.5,1327,665,729,569091,1924,268324.5,500,55796,application_1562860412721_5764,1833558
198255,1.96E+09,1.34E+08,1399839.5,7827.5,0,0,230.5,1.53E+07,2751,2,537.5,722,0.5,99918.5,22.5,1682,416.5,1145.5,1200886.5,1924,188903.5,500,86580,application_1562860412721_5841,4802868
6364.5,1.96E+09,1.34E+08,2174619.5,7327.5,0,0,171.5,1.31E+07,2740,2,25.5,1196,0.5,99918.5,38.5,1297.5,671,1083,1466510,1924,144277.5,500,148148,application_1562860412721_6116,1275261
201298,2.02E+09,1.34E+08,1032922,7913,0,0,118.5,1.74E+07,2494,2,901.5,556,2,99918,17.5,1805.5,229,1558,945210.5,1924,267121,500,67340,application_1562860412721_6180,3755631
70355,2.32E+09,1.34E+08,1519035,7827.5,0,0,94,1.49E+07,2747,2,332,788,0.5,99918.5,25,1703.5,375,513.5,1314286,1924,201119,500,96200,application_1562860412721_6394,2252502
266872.5,2.11E+09,1.34E+08,852748.5,7851,0,0,1984.5,2.72E+07,2491,2,1240.5,455,5.5,99918.5,14,1867,77,2043,818406,1924,313268.5,500,53872,application_1562860412721_6488,3250728
50410,2.12E+09,1.34E+08,1110433.5,7399,0,0,142,1.27E+07,2490,2,149.5,634.5,0.5,99918.5,20,1517.5,789.5,1874.5,789752.5,1924,206659,500,76960,application_1562860412721_6663,2142623
192840,2.12E+09,1.34E+08,2499535,7327.5,0,0,114,1.84E+07,2736,2,641.5,1378,1.5,99917.5,45,1758.5,307.5,1300,2211191,1924,161908.5,500,173160,application_1562860412721_6761,4093973
25067.5,1.92E+09,1.34E+08,1299791.5,7327.5,0,0,89,1.18E+07,2475,2,77,718.5,0.5,99918.5,22.5,1402.5,702,822,863368,1924,172265.5,500,86580,application_1562860412721_6976,1809652
187006,2.29E+09,1.34E+08,3756803,7115.5,0,0,566,2.02E+07,2732,2,715,2069.5,1,99917.5,68,1825,154.5,1652.5,3461884,1924,171821.5,500,261664,application_1562860412721_7033,2624112
5703,1.99E+09,1.34E+08,1889146.5,7517,0,0,141,1.26E+07,2742,2,23.5,1012,0.5,99918.5,32.5,1300,676,2273,1227236.5,1924,159640,500,125060,application_1562860412721_7183,1211120
104756,2.40E+09,1.34E+08,953749,7827.5,0,0,275,1.43E+07,2496,2,509.5,501.5,1,99918.5,15.5,1711,381.5,861,843712,1924,254240.5,500,59644,application_1562860412721_7269,2327949
215867.5,2.04E+09,1.34E+08,1330557,7327.5,0,0,124,1.95E+07,2473,2,806.5,727,13,99918.5,22.5,1856.5,120.5,1898.5,1277319,1924,211490,500,86580,application_1562860412721_7381,3922258
80120.5,2.33E+09,1.34E+08,832153,7553.5,0,0,219.5,1.17E+07,2771,2,227.5,481.5,1,99918.5,15,1472,737.5,864,556057.5,1924,273573,500,57720,application_1562860412721_7505,2190944
55036,2.08E+09,1.34E+08,1020633.5,7300.5,0,0,111,1.39E+07,2760,2,294.5,593,0.5,99918.5,18.5,1679.5,359.5,1223,842815.5,1924,239405.5,500,71188,application_1562860412721_7580,2133857
