avgExecutorRunTime , avgexecutorCpuTime , InputBytes , avgShuffleReadBytes ,avgShuffleWriteBytes , avgMemoryBytesSpilled ,avgDiskBytesSpilled ,avgExecutorDeserializeTime , avgExecutorDeserializeCPUTime ,avgResultSize , numberOfStages,avgGCTime ,avgOutSize , avgResultSerTime , avgInputRecordsRead, avgOutputRecordsWritten, avgShuffleRemoteBlocksFetched, avgShuffleLocalBlocksFetched, avgShuffleFetchWaitTime, avgShuffleRemoteBytesRead , avgShuffleTotalBlocksFetched ,avgShuffleWriteTime,avgShuffleWriteRecords ,avgShuffleReadRecords , AppId , Exec_time
106491.5,2.44E+09,1.34E+08,2587728,7327.5,0,0,141.5,1.61E+07,2475,2,368,718.5,0.5,99914.5,22.5,3469,819,1289,2145820,3828,201685,500,172260,application_1562269929839_0133,4669530
107669,2.57E+09,1.34E+08,1959110,7767,0,0,127.5,1.54E+07,2485,2,436,537.5,5.5,99914,16.5,3596,544.5,1415,1814207.5,3828,269820.5,500,126324,application_1562269929839_0391,4567009
69662.5,2.67E+09,1.34E+08,3981120,7827.5,0,0,152,1.40E+07,2741,2,157.5,1028,0.5,99914.5,33,2953,1551,1280.5,2631123,3828,151206,500,252648,application_1562269929839_0680,4042375
161981.5,2.06E+09,1.34E+08,1822128,7827.5,0,0,255,1.72E+07,2500,2,696.5,477,0.5,99914.5,14.5,3650,395.5,3159.5,1642200,3828,232709,500,111012,application_1562269929839_0889,8069908
69774,2.61E+09,1.34E+08,3010510.5,7555,0,0,147,1.18E+07,2746,2,237.5,823.5,1,99914.5,26.5,2930,1553.5,368.5,1980310.5,3828,178757,500,202884,application_1562269929839_1343,4088781
46334,2.32E+09,1.34E+08,4939692.5,7386,0,0,85,1.49E+07,2736,2,178.5,1378,0.5,99914.5,45,3414.5,798,2527.5,4399657.5,3828,153165.5,500,344520,application_1562269929839_1607,3907979
64623.5,2.45E+09,1.34E+08,2231724,7327.5,0,0,150.5,1.22E+07,2480,2,205,634.5,1,99914,20,2974.5,1578,833,1570536,3828,182288,500,153120,application_1562269929839_1801,4153291
12998.5,2.13E+09,1.34E+08,7108596,7827.5,0,0,137.5,1.13E+07,2466,2,65,1793.5,0.5,99914.5,58,2758.5,1465.5,1545,4841167.5,3828,121499.5,500,444048,application_1562269929839_2008,3447382
195492.5,2.26E+09,1.34E+08,2501042,7664.5,0,0,142.5,1.89E+07,2755,2,1250.5,697,4,99914.5,22,3705,260.5,2473.5,2418715.5,3828,238139,500,168432,application_1562269929839_2169,5314726
4802,2.11E+09,1.34E+08,1722545,7489.5,0,0,94.5,1.07E+07,2765,2,26.5,495.5,0.5,99914.5,15.5,2610,1392,120.5,1139997,3828,189122,500,118668,application_1562269929839_2446,2965885
205682,2.09E+09,1.34E+08,3284424,7327.5,0,0,116,1.46E+07,2467,2,527,907,0.5,99914.5,29,3488,539.5,1779,2934360,3828,165571.5,500,222024,application_1562269929839_2634,9965906
8659,2.19E+09,1.34E+08,1531200,7327.5,0,0,87.5,1.40E+07,2727,2,97,453,1,99914.5,14,2618,1396,466,994840,3828,190680.5,500,107184,application_1562269929839_3121,2816366
190243.5,2.27E+09,1.34E+08,2920979.5,7883.5,0,0,201.5,1.77E+07,2482,2,742,777,0.5,99914.5,24.5,3594,438.5,2369.5,2593238,3828,257882,500,187572,application_1562269929839_3266,7782591
27951,2.32E+09,1.34E+08,4371044.5,7439,0,0,116.5,1.35E+07,2461,2,126,1200.5,0.5,99914.5,38,2860.5,1514,1377,2951101.5,3828,145599,500,290928,application_1562269929839_3683,3767024
209634.5,2.07E+09,1.34E+08,2247036,7827.5,0,0,182.5,1.46E+07,2759,2,506,601.5,0.5,99914,19,3351.5,824,1894.5,1946295,3828,184616,500,145464,application_1562269929839_3887,1.01E+07
53126.5,2.39E+09,1.34E+08,2768667.5,7272.5,0,0,239.5,1.21E+07,2481,2,166,777.5,0.5,99914,24.5,2951.5,1555,2458.5,2015683,3828,168552.5,500,187572,application_1562269929839_4329,4051384
202154.5,2.00E+09,1.34E+08,1592448,7327.5,0,0,367,1.16E+07,2769,2,508,453.5,1,99914.5,14,3335,791,1769,1281614,3828,202761.5,500,107184,application_1562269929839_4521,1.02E+07
15211,2.13E+09,1.34E+08,2289144,7827.5,0,0,165.5,9851930.5,2758,2,94.5,610,0.5,99914.5,19.5,2872,1522,2735.5,1700224,3828,166185,500,149292,application_1562269929839_5084,2893454
188932,2.22E+09,1.34E+08,4446837.5,6950,0,0,531,2.05E+07,2460,2,542,1317,0.5,99914.5,43,3500,575,3443.5,3976590,3828,155529.5,500,329208,application_1562269929839_5241,9877576
7546,2.13E+09,1.34E+08,2657128.5,7847,0,0,168.5,1.12E+07,2753,2,44.5,710,0.5,99914.5,22.5,2689,1426.5,1858,1792894.5,3828,177721,500,172260,application_1562269929839_5790,2530361
124810.5,2.77E+09,1.34E+08,7499052,7827.5,0,0,130.5,1.49E+07,2465,2,243.5,1886.5,0.5,99914,61,3471,830,2570.5,6299865,3828,152354.5,500,467016,application_1562269929839_5920,4832651
24285,2.20E+09,1.34E+08,3686364,7327.5,0,0,130,1.47E+07,2465,2,118,1012,0.5,99914,32.5,2947,1570,1521,2837961,3828,137927.5,500,248820,application_1562269929839_6199,3504594
188368.5,2.10E+09,1.34E+08,1939336,7975.5,0,0,139,1.57E+07,2763,2,660.5,501.5,1,99914.5,15.5,3502,592.5,3858.5,1748472.5,3828,227674,500,118668,application_1562269929839_6412,9168776
91508.5,2.57E+09,1.34E+08,2730078,7784,0,0,158.5,1.43E+07,2750,2,397.5,727,0.5,99914,22.5,3581,551.5,3127.5,2349205,3828,242632.5,500,172260,application_1562269929839_6802,4341734
65351.5,2.40E+09,1.34E+08,1760880,7827.5,0,0,196.5,1.27E+07,2504,2,200.5,481.5,0.5,99914.5,15,3010,1599.5,2063.5,1182930,3828,219592.5,500,114840,application_1562269929839_6994,4094360
200600,2.05E+09,1.34E+08,1952280,7327.5,0,0,171.5,2.11E+07,2484,2,830,556,4.5,99914.5,17.5,3716,198.5,3970.5,1864305,3828,231447.5,500,133980,application_1562269929839_7169,6624474
132215.5,2.37E+09,1.34E+08,3721531.5,7092.5,0,0,267.5,1.51E+07,2740,2,447,1072,0.5,99914.5,34,3379,772,5169,3050311.5,3828,158936.5,500,260304,application_1562269929839_7459,8354770
70603.5,2.54E+09,1.34E+08,2558536,7819,0,0,245,1.30E+07,2488,2,183.5,689.5,0.5,99914.5,21.5,3424.5,801.5,3547.5,2087572,3828,228798,500,164604,application_1562269929839_7852,4165954
81753.5,2.49E+09,1.34E+08,5845356,7327.5,0,0,127,1.29E+07,2734,2,203,1604,1,99914,52.5,3023,1596.5,3475,4616121,3828,139157,500,401940,application_1562269929839_8063,4210791
84964.5,2.53E+09,1.34E+08,3131304,7827.5,0,0,89,1.91E+07,2746,2,187,837,1,99914,27.5,3669.5,317,4724,2982903,3828,207892,500,210540,application_1562269929839_8274,4146805
52451,2.26E+09,1.34E+08,1849835,8173.5,0,0,156,1.28E+07,2489,2,183,492,0.5,99914.5,15,2968.5,1562,1562.5,1273827.5,3828,233345.5,500,114840,application_1562269929839_8468,4027046
70451,2.56E+09,1.34E+08,6387895.5,6751,0,0,113,1.62E+07,2455,2,170,1886.5,0.5,99914.5,61,3457.5,808.5,3413,5038897,3828,150928.5,500,467016,application_1562269929839_8682,4065126
59211.5,2.64E+09,1.34E+08,2694912,7827.5,0,0,97.5,1.26E+07,2753,2,213.5,710,0.5,99914,22.5,2975.5,1582.5,2462,2094752,3828,178456,500,172260,application_1562269929839_8940,3942238
91079.5,2.41E+09,1.34E+08,1833612,7327.5,0,0,155,1.70E+07,2765,2,163.5,530,1,99914,16.5,3683,324,3312,1720435,3828,257128.5,500,126324,application_1562269929839_9150,4356056
28299.5,2.24E+09,1.34E+08,3713038,7156.5,0,0,142.5,1.57E+07,2476,2,130,1058.5,0.5,99914.5,33.5,2859.5,1514,2199,2244567,3828,155041.5,500,256476,application_1562269929839_9375,3779612
41990,2.14E+09,1.34E+08,1700158,8055,0,0,93,1.19E+07,2769,2,125.5,453.5,1,99914,14,3407.5,787.5,1999.5,1439527,3828,240180.5,500,107184,application_1562269929839_9606,3946430
59251.5,2.37E+09,1.34E+08,2809752,7327.5,0,0,167.5,1.33E+07,2471,2,184,777.5,0.5,99914.5,24.5,2909.5,1537,3575,1873718,3828,164144,500,187572,application_1562269929839_9876,3993850
