99101,2.64E+09,1.34E+08,4138670,7327.5,0,0,119,1.32E+07,2475,2,250.5,741,0.5,99916.5,22.5,5492.5,1327.5,3702,3382671,6123.5,193169,500,275557.5,application_1554275692204_0425,6669313
111384,2.74E+09,1.34E+08,3132966.5,7766.5,0,0,393,1.49E+07,2485,2,381,554,0.5,99916.5,16.5,5712,897.5,2993,2880996,6123.5,253180,500,202075.5,application_1554275692204_0818,7069890
71081,2.69E+09,1.34E+08,6367262,7827.5,0,0,179,1.25E+07,2741,2,215,1060.5,1,99916.5,33,4712,2609,3830.5,4197628.5,6123.5,137814.5,500,404151,application_1554275692204_1253,6208347
160942.5,2.20E+09,1.34E+08,2914279.5,7827.5,0,0,164,1.63E+07,2500,2,516.5,491,0.5,99916.5,14.5,5832,632.5,3729,2625165.5,6123.5,216186,500,177581.5,application_1554275692204_1611,1.25E+07
87834,2.54E+09,1.34E+08,4814740.5,7555,0,0,178.5,1.22E+07,2746,2,312,850,0.5,99916.5,26.5,4791.5,2646.5,4484.5,3237419.5,6123.5,163672,500,324545.5,application_1554275692204_2268,6571351
51086.5,2.57E+09,1.34E+08,7900288.5,7386.5,0,0,163.5,1.33E+07,2736,2,161.5,1423,0.5,99916.5,45,5454.5,1331,3543,6719924.5,6123.5,144521,500,551115,application_1554275692204_2577,6182479
56551.5,2.43E+09,1.34E+08,3569279,7327.5,0,0,110.5,1.24E+07,2480,2,230,654.5,0.5,99916.5,20,4617,2559,4532.5,2467290,6123.5,171309.5,500,244940,application_1554275692204_2846,5907339
15872,2.36E+09,1.34E+08,1.14E+07,7827.5,0,0,215,1.34E+07,2466,2,94,1851.5,0.5,99916.5,58,4281,2338,5237.5,7335446,6123.5,112926,500,710326,application_1554275692204_3170,4678147
206472,2.45E+09,1.34E+08,3999721,7664.5,0,0,147,2.04E+07,2755,2,1222,719,3,99916.5,22,5910.5,392,3518,3827967.5,6123.5,224496,500,269434,application_1554275692204_3383,8749390
6071.5,2.24E+09,1.34E+08,2755550,7489.5,0,0,112.5,1.11E+07,2765,2,59,511,0.5,99916.5,15.5,4303,2317,628,1936349,6123.5,180490,500,189828.5,application_1554275692204_3821,4832706
