490618.3333,1.21E+11,2.90E+08,1.68E+09,2.63E+07,3.87E+09,1.24E+09,395,1.86E+08,4848,3,254408.6667,3.09E+09,2,968177,3.09E+07,135.6666667,18.33333333,265884,1.47E+09,148,2.01E+08,484088.3333,3.09E+07,application_1566532495733_6357,2369781
460028.3333,1.36E+11,2.90E+08,3.28E+09,5.13E+07,6.20E+09,3.01E+09,307.6666667,1.41E+08,3842,3,154008.3333,3.09E+09,1,968177,3.09E+07,107,53.66666667,158056.3333,2.37E+09,148,1.17E+08,484088.3333,3.09E+07,application_1566532495733_6468,1798405
308797.2222,1.79E+09,1.31E+09,0,1.34E+08,0,0,3031.777778,4.60E+08,9650,9,617.5555556,0,1,1452265.111,0,0,0,0,0,0,3.97E+09,1290902.222,0,application_1566532495733_6551,6833111
155534.6667,3.17E+09,8.71E+08,0,5.93E+07,0,0,202.1666667,8.80E+07,7699,6,232.3333333,0,1.166666667,1452265.167,0,0,0,0,0,0,6.02E+08,1210220.833,0,application_1566532495733_6818,7500504
411067,1.32E+11,2.90E+08,1.36E+09,2.14E+07,4.47E+09,1.06E+09,409.3333333,2.55E+08,3884,3,190962.3333,3.09E+09,1.333333333,968177,3.09E+07,125.3333333,28.66666667,144725.6667,1.13E+09,148,1.02E+08,484088.3333,3.09E+07,application_1566532495733_7168,1374890
104285,1.31E+09,2.90E+08,0,7.55E+07,0,0,309,1.93E+08,3261,2,77.5,0,1.5,1452265.5,0,0,0,0,0,0,2.11E+08,726132.5,0,application_1566532495733_7215,7875225
674543.6667,1.28E+11,2.90E+08,3.28E+09,5.13E+07,4.71E+09,2.64E+09,444.6666667,2.00E+08,4849,3,357118,3.09E+09,1.666666667,968177,3.09E+07,143.3333333,13.33333333,150129.6667,2.98E+09,148,3.12E+09,484088.3333,3.09E+07,application_1566532495733_7524,2166879
255626.6667,1.15E+11,2.90E+08,1.68E+09,2.64E+07,4.71E+09,1.50E+09,290.6666667,1.24E+08,3775,3,77331.66667,3.09E+09,1,968177,3.09E+07,106.6666667,55.33333333,66975.33333,1.21E+09,148,4.75E+07,484088.3333,3.09E+07,application_1566532495733_7600,991705
449997.6667,1.44E+11,2.90E+08,1.51E+09,2.36E+07,4.89E+09,1.44E+09,385.6666667,2.42E+08,3775,3,154641,3.09E+09,0.666666667,968177,3.09E+07,120,31.33333333,63123.33333,1.22E+09,148,1.11E+08,484088.3333,3.09E+07,application_1566532495733_7639,1588910
211216.3333,1.79E+09,4.36E+08,0,1.03E+08,0,0,226.3333333,1.45E+08,4318,3,53.66666667,0,1.333333333,1452265.333,0,0,0,0,0,0,4.26E+09,968176.6667,0,application_1566532495733_7688,7738009
869609,7.36E+10,4.36E+08,1.87E+09,7.55E+07,1.70E+09,9.64E+08,321,1.51E+08,5949,4,580312.5,1.80E+09,1.5,1089199,1.80E+07,106.25,9,91167.75,1.73E+09,111,4.17E+09,726132.5,1.80E+07,application_1566532495733_7980,5252178
