avgExecutorRunTime , avgexecutorCpuTime , InputBytes , avgShuffleReadBytes ,avgShuffleWriteBytes , avgMemoryBytesSpilled ,avgDiskBytesSpilled ,avgExecutorDeserializeTime , avgExecutorDeserializeCPUTime ,avgResultSize , numberOfStages,avgGCTime ,avgOutSize , avgResultSerTime , avgInputRecordsRead, avgOutputRecordsWritten, avgShuffleRemoteBlocksFetched, avgShuffleLocalBlocksFetched, avgShuffleFetchWaitTime, avgShuffleRemoteBytesRead , avgShuffleTotalBlocksFetched ,avgShuffleWriteTime,avgShuffleWriteRecords ,avgShuffleReadRecords , AppId , Exec_time
476325.1,1.39E+09,1.34E+09,0,1.26E+08,0,0,2541.4,1.16E+08,10297,10,416,0,0.1,1342178,0,0,0,0,0,0,3.60E+11,1207960.2,0,application_1567452407270_5295,2886454
217887.8333,2.98E+09,8.05E+08,0,5.48E+07,0,0,167.5,7.97E+07,7489,6,122.6666667,0,1.166666667,1342178,0,0,0,0,0,0,5.05E+08,1118481.667,0,application_1567452407270_5362,7595682
581408.6667,2.26E+11,2.68E+08,2.10E+09,1.98E+07,8.93E+09,2.13E+09,363.3333333,2.49E+08,3842,3,127939.3333,4.76E+09,1.333333333,894785.3333,4.76E+07,217.3333333,44.66666667,225052.6667,1.76E+09,259,9.86E+07,447392.6667,4.76E+07,application_1567452407270_5632,3077269
121669,1.15E+09,4.03E+08,0,9.31E+07,0,0,203.6666667,1.41E+08,4318,3,153.6666667,0,1.333333333,1342178,0,0,0,0,0,0,8.97E+08,894785.3333,0,application_1567452407270_5728,7373882
675835,1.95E+11,2.68E+08,5.04E+09,4.74E+07,7.07E+09,3.96E+09,438,2.03E+08,4807,3,154985,4.76E+09,1.666666667,894785.3333,4.76E+07,249.6666667,21,223261,4.71E+09,259,1.84E+09,447392.6667,4.76E+07,application_1567452407270_5903,2707681
430027.3333,1.79E+11,2.68E+08,2.59E+09,2.44E+07,7.85E+09,2.51E+09,343.6666667,2.19E+08,3775,3,118017.3333,4.76E+09,0.666666667,894785.3333,4.76E+07,188.3333333,100,109829.6667,1.76E+09,259,5.20E+07,447392.6667,4.76E+07,application_1567452407270_5981,1704122
897709.3333,2.32E+11,2.68E+08,2.32E+09,2.18E+07,7.83E+09,2.30E+09,385.6666667,2.42E+08,3775,3,187245.3333,4.76E+09,3.666666667,894785.3333,4.76E+07,206.3333333,54.33333333,89420,1.83E+09,259,1.48E+08,447392.6667,4.76E+07,application_1567452407270_6048,3082616
170595.5,1.61E+09,2.68E+08,0,7.11E+07,0,0,325.5,2.25E+08,3261,2,74,0,0.5,1342178,0,0,0,0,0,0,3.03E+09,671089,0,application_1567452407270_6126,7396976
1333246.333,1.78E+11,2.68E+08,4.95E+09,4.65E+07,6.80E+09,3.86E+09,425.6666667,1.95E+08,4807,3,837475.6667,4.76E+09,1.666666667,894785.3333,4.76E+07,249.6666667,23.33333333,338153.6667,4.71E+09,259,2.72E+09,447392.6667,4.76E+07,application_1567452407270_6357,4604950
489697.3333,2.21E+11,2.68E+08,2.33E+09,2.19E+07,7.54E+09,2.18E+09,290,2.21E+08,3842,3,123140.3333,4.76E+09,1,894785.3333,4.76E+07,190.6666667,98.66666667,124745.3333,1.60E+09,259,8.72E+07,447392.6667,4.76E+07,application_1567452407270_6615,1881811
582052.6667,2.12E+11,2.68E+08,2.10E+09,1.98E+07,5.58E+09,1.49E+09,294,1.61E+08,4806,3,160112.3333,4.76E+09,1.666666667,894785.3333,4.76E+07,226.6666667,51,260068,1.73E+09,259,1.10E+08,447392.6667,4.76E+07,application_1567452407270_6709,2108778
721466.3333,1.94E+11,2.68E+08,4.95E+09,4.65E+07,1.01E+10,4.88E+09,335.3333333,2.33E+08,3775,3,222182.6667,4.76E+09,0.666666667,894785.3333,4.76E+07,189.3333333,99.33333333,287441.3333,3.38E+09,259,3.21E+08,447392.6667,4.76E+07,application_1567452407270_6832,2841922
821575.6667,1.90E+11,2.68E+08,5.04E+09,4.74E+07,7.77E+09,4.62E+09,565,3.09E+08,3842,3,79493,4.76E+09,1.333333333,894785.3333,4.76E+07,237.6666667,39.66666667,210984.6667,4.53E+09,259,4.25E+09,447392.6667,4.76E+07,application_1567452407270_6949,3388596
91403.4,1.32E+09,6.71E+08,0,5.91E+07,0,0,146.8,8.85E+07,6432,5,145.8,0,0.4,1342178,0,0,0,0,0,0,1.59E+08,1073742.4,0,application_1567452407270_7088,7272246
4440.5,1.58E+09,2.68E+08,0,3.29E+07,0,0,298,2.17E+08,3261,2,62.5,0,0.5,1342178,0,0,0,0,0,0,1.24E+08,671089,0,application_1567452407270_7437,7571062
716597.6667,1.66E+11,2.68E+08,4.95E+09,4.65E+07,8.07E+09,4.63E+09,505.3333333,2.85E+08,3775,3,78535.33333,4.76E+09,7.333333333,894785.3333,4.76E+07,242.3333333,44.33333333,249073,4.61E+09,259,7.03E+09,447392.6667,4.76E+07,application_1567452407270_7706,2941261
942570.3333,1.89E+11,2.68E+08,5.04E+09,4.74E+07,7.82E+09,4.64E+09,451.3333333,2.30E+08,3842,3,138792.3333,4.76E+09,3.666666667,894785.3333,4.76E+07,226.6666667,50,332498.6667,4.12E+09,259,6.71E+08,447392.6667,4.76E+07,application_1567452407270_7862,3679209
336373.0909,1.57E+09,1.48E+09,0,6.65E+07,0,0,1972.454545,8.17E+07,13204,11,572.9090909,0,1.090909091,1342178,0,0,0,0,0,0,1.88E+10,1220161.818,0,application_1567452407270_7994,4271848
840539.6667,2.19E+11,2.68E+08,2.59E+09,2.43E+07,9.17E+09,2.49E+09,276.6666667,2.19E+08,3775,3,277832.6667,4.76E+09,1.333333333,894785.3333,4.76E+07,198.3333333,103.3333333,251065,1.85E+09,259,4.65E+07,447392.6667,4.76E+07,application_1567452407270_8207,2832855
253742.25,1.48E+09,5.37E+08,0,1.07E+08,0,0,229.25,1.16E+08,5375,4,453,0,1.25,1342178,0,0,0,0,0,0,1.72E+10,1006633.5,0,application_1567452407270_8342,7478101
638623,2.26E+11,2.68E+08,2.10E+09,1.98E+07,8.46E+09,2.13E+09,603,2.88E+08,3842,3,139443,4.76E+09,17,894785.3333,4.76E+07,241.6666667,31.33333333,160865.3333,1.95E+09,259,9.20E+08,447392.6667,4.76E+07,application_1567452407270_8980,2320916
1102266,2.01E+11,2.68E+08,5.04E+09,4.74E+07,8.15E+09,4.59E+09,297.3333333,1.65E+08,4806,3,147007.3333,4.76E+09,1.666666667,894785.3333,4.76E+07,211,54.33333333,175594.3333,4.10E+09,259,1.04E+09,447392.6667,4.76E+07,application_1567452407270_9093,4075686
445028.1,2.24E+09,1.34E+09,0,5.33E+07,0,0,3472.5,4.45E+08,10675,10,818,0,1,1342178,0,0,0,0,0,0,2.76E+10,1207960.2,0,application_1567452407270_9287,1450769
28953,1.73E+09,2.68E+08,0,3.29E+07,0,0,394.5,3.21E+08,2496,2,95.5,0,1,1342178,0,0,0,0,0,0,1.40E+08,671089,0,application_1567452407270_9335,7467612
