spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size,,,,
10,16,45,21,1,566,0.84375,0.53125,120,0,57,943,319,2.25,0.8125,57,3,104,120,0,608,120,134,1343750,4,0,1,1,1,2,304120,pagerank,application_1551694466424_11053,huge,,,,
5,31,10,47,0,443,0.53125,0.59375,72,1,72,606,195,2.75,0.4375,41,1,57,104,0,1952,104,190,1356250,8,0,1,1,1,1,412235,pagerank,application_1551694466424_11066,huge,,,,
11,12,30,26,1,938,0.78125,0.84375,9,0,9,156,690,4.75,0.9375,104,2,120,41,1,1184,41,415,1306250,3,1,0,0,0,2,296804,pagerank,application_1551694466424_11083,huge,,,,
8,40,20,15,0,690,0.90625,0.71875,41,0,41,831,938,3.75,0.1875,72,3,88,72,0,800,9,78,1381250,6,1,1,1,0,2,419984,pagerank,application_1551694466424_11116,huge,,,,
15,21,40,36,1,195,0.65625,0.96875,104,1,104,381,443,1.75,0.6875,9,2,25,9,1,1568,72,303,1331250,1,0,0,0,1,1,307276,pagerank,application_1551694466424_11132,huge,,,,
9,37,39,25,0,845,0.671875,0.734375,68,1,13,803,535,2.375,0.53125,13,1,37,45,1,1808,21,429,1340625,4,1,1,0,0,2,486726,pagerank,application_1551694466424_11149,huge,,,,
15,18,19,46,1,350,0.921875,0.984375,5,0,76,353,40,4.375,0.03125,76,2,100,108,0,1040,84,204,1390625,9,0,0,1,1,1,283097,pagerank,application_1551694466424_11198,huge,,,,
5,27,29,35,0,102,0.796875,0.609375,37,0,108,578,288,3.375,0.78125,108,3,68,13,1,656,116,317,1315625,2,0,1,0,1,1,437914,pagerank,application_1551694466424_11212,huge,,,,
12,8,9,14,1,597,0.546875,0.859375,100,1,45,128,783,1.375,0.28125,45,1,5,76,0,1424,53,92,1365625,6,1,0,1,0,2,538973,pagerank,application_1551694466424_11231,huge,,,,
4,41,44,30,0,474,0.859375,0.796875,84,0,92,465,659,1.875,0.90625,61,2,84,92,0,1232,37,260,1328125,1,1,0,1,0,1,428997,pagerank,application_1551694466424_11278,huge,,,,
10,22,24,9,1,969,0.609375,0.546875,21,1,29,915,164,3.875,0.40625,124,3,21,29,1,2000,100,485,1378125,5,0,1,0,1,2,395401,pagerank,application_1551694466424_11291,huge,,,,
7,32,34,19,0,721,0.734375,0.921875,53,1,61,240,412,4.875,0.65625,92,1,53,124,0,1616,68,148,1303125,3,0,0,1,1,2,410776,pagerank,application_1551694466424_11306,huge,,,,
13,13,14,40,1,226,0.984375,0.671875,116,0,124,690,907,2.875,0.15625,29,3,116,61,1,848,5,373,1353125,8,1,1,0,0,1,279488,pagerank,application_1551694466424_11348,huge,,,,
5,15,46,27,0,40,0.828125,0.828125,29,1,21,971,597,2.125,0.59375,21,2,108,53,0,1328,76,120,1384375,8,1,1,0,1,1,275260,pagerank,application_1551694466424_11359,huge,,,,
11,34,26,48,1,535,0.578125,0.578125,92,0,84,521,102,4.125,0.09375,84,3,45,116,1,560,13,345,1334375,4,0,0,1,0,2,490176,pagerank,application_1551694466424_11371,huge,,,,
8,6,36,38,0,783,0.703125,0.953125,124,0,116,746,350,3.125,0.84375,116,2,13,21,0,944,45,232,1359375,6,0,1,0,0,2,305171,pagerank,application_1551694466424_11389,huge,,,,
14,25,16,17,1,288,0.953125,0.703125,61,1,53,296,845,1.125,0.34375,53,1,76,84,1,1712,108,457,1309375,1,1,0,1,1,1,302087,pagerank,application_1551694466424_11396,huge,,,,
6,20,41,32,0,659,0.640625,0.640625,13,0,68,409,721,1.625,0.96875,37,3,29,68,1,752,124,289,1396875,7,1,0,1,1,2,399869,pagerank,application_1551694466424_11429,huge,,,,
13,39,21,11,1,164,0.890625,0.890625,76,1,5,859,226,3.625,0.46875,100,1,92,5,0,1520,61,64,1346875,2,0,1,0,0,1,409146,pagerank,application_1551694466424_11442,huge,,,,
3,10,31,22,0,412,0.765625,0.515625,108,1,37,184,474,4.625,0.71875,68,1,124,100,1,1904,29,401,1371875,9,0,0,1,0,1,323641,pagerank,application_1551694466424_11452,huge,,,,
9,29,11,43,1,907,0.515625,0.765625,45,0,100,634,969,2.625,0.21875,5,2,61,37,0,1136,92,176,1321875,5,1,1,0,1,2,332276,pagerank,application_1551694466424_11464,huge,,,,
6,18,31,9,1,149,0.6953125,0.7265625,35,0,110,198,272,4.8125,0.078125,7,1,90,82,0,1448,23,352,1357812,2,1,1,0,1,2,685617,pagerank,application_1551694466424_11501,huge,,,,
12,37,11,30,0,644,0.9453125,0.9765625,98,1,47,648,767,2.8125,0.578125,70,3,27,19,1,680,86,127,1307812,7,0,0,1,0,1,373369,pagerank,application_1551694466424_11537,huge,,,,
3,9,41,41,1,891,0.8203125,0.6015625,66,1,15,423,520,1.8125,0.328125,102,2,59,114,0,1064,118,464,1382812,5,0,1,0,0,1,272186,pagerank,application_1551694466424_11576,huge,,,,
9,28,21,20,0,396,0.5703125,0.8515625,3,0,78,873,25,3.8125,0.828125,39,1,122,51,1,1832,55,239,1332812,9,1,0,1,1,2,437262,pagerank,application_1551694466424_11591,huge,,,,
4,23,36,46,1,520,0.7578125,0.7890625,51,1,63,760,396,3.3125,0.453125,55,3,43,35,1,872,39,71,1370312,3,1,0,1,1,1,303584,pagerank,application_1551694466424_11604,huge,,,,
11,42,16,25,0,25,0.5078125,0.5390625,114,0,126,310,891,1.3125,0.953125,118,1,106,98,0,1640,102,296,1320312,8,0,1,0,0,2,433531,pagerank,application_1551694466424_11617,huge,,,,
8,13,46,15,1,272,0.6328125,0.9140625,82,0,94,985,644,2.3125,0.203125,86,3,74,3,1,2024,70,183,1395312,1,0,0,1,0,2,339862,pagerank,application_1551694466424_11627,huge,,,,
14,32,26,36,0,767,0.8828125,0.6640625,19,1,31,535,149,4.3125,0.703125,23,2,11,66,0,1256,7,408,1345312,6,1,1,0,1,1,394061,pagerank,application_1551694466424_11664,huge,,,,
4,35,33,12,1,953,0.7890625,0.8203125,122,0,118,254,334,4.5625,0.015625,31,1,19,74,1,1736,78,211,1314062,5,1,1,0,0,1,414229,pagerank,application_1551694466424_11686,huge,,,,
10,16,13,33,0,458,0.5390625,0.5703125,59,1,55,704,829,2.5625,0.515625,94,2,82,11,0,968,15,436,1364062,1,0,0,1,1,2,308456,pagerank,application_1551694466424_11706,huge,,,,
7,25,43,44,1,211,0.6640625,0.9453125,27,1,23,479,582,1.5625,0.265625,126,3,114,106,1,584,47,99,1339062,7,0,1,0,1,2,332464,pagerank,application_1551694466424_11720,huge,,,,
13,6,23,23,0,706,0.9140625,0.6953125,90,0,86,929,87,3.5625,0.765625,63,2,51,43,0,1352,110,324,1389062,3,1,0,1,0,1,270271,pagerank,application_1551694466424_11750,huge,,,,
8,40,28,49,1,334,0.7265625,0.6328125,106,1,39,592,458,3.0625,0.390625,47,2,98,59,0,1160,126,492,1301562,9,1,0,1,0,2,356374,pagerank,application_1551694466424_11759,huge,,,,
15,21,8,28,0,829,0.9765625,0.8828125,43,0,102,142,953,1.0625,0.890625,110,3,35,122,1,1928,63,267,1351562,4,0,1,0,1,1,283865,pagerank,application_1551694466424_11766,huge,,,,
5,30,38,17,1,582,0.8515625,0.5078125,11,0,70,817,706,2.0625,0.140625,78,1,3,27,0,1544,31,380,1326562,6,0,0,1,1,1,446783,pagerank,application_1551694466424_11776,huge,,,,
