10,22,9,40,TRUE,969,0.609375,0.546875,21,TRUE,29,925,971,3.875,0.40625,9,snappy,21,29,TRUE,2000,100,232,1315625,5,FALSE,TRUE,FALSE,TRUE,org.apache.spark.serializer.KryoSerializer,717630,tpch,application_1563454629476_0595,20,,,,
7,32,19,9,FALSE,721,0.734375,0.921875,53,TRUE,61,325,296,4.875,0.65625,7,lzf,53,124,FALSE,1616,68,345,1340625,3,FALSE,FALSE,TRUE,TRUE,org.apache.spark.serializer.KryoSerializer,781684,tpch,application_1563454629476_0607,20,,,,
13,13,39,30,TRUE,226,0.984375,0.671875,116,FALSE,124,725,746,2.875,0.15625,3,snappy,116,61,TRUE,848,5,120,1390625,8,TRUE,TRUE,FALSE,FALSE,org.apache.spark.serializer.JavaSerializer,793549,tpch,application_1563454629476_0651,20,,,,
5,15,26,43,FALSE,40,0.828125,0.828125,29,TRUE,21,975,240,2.125,0.59375,3,lz4,108,53,FALSE,1328,76,485,1359375,8,TRUE,TRUE,FALSE,TRUE,org.apache.spark.serializer.JavaSerializer,768483,tpch,application_1563454629476_0693,20,,,,
11,34,46,22,TRUE,535,0.578125,0.578125,92,FALSE,84,575,690,4.125,0.09375,7,snappy,45,116,TRUE,560,13,260,1309375,4,FALSE,FALSE,TRUE,FALSE,org.apache.spark.serializer.KryoSerializer,595365,tpch,application_1563454629476_0712,20,,,,
8,6,36,32,FALSE,783,0.703125,0.953125,124,FALSE,116,775,465,3.125,0.84375,9,lz4,13,21,FALSE,944,45,373,1334375,6,FALSE,TRUE,FALSE,FALSE,org.apache.spark.serializer.KryoSerializer,643578,tpch,application_1563454629476_0726,20,,,,
14,25,16,11,TRUE,288,0.953125,0.703125,61,TRUE,53,375,915,1.125,0.34375,5,lzf,76,84,TRUE,1712,108,148,1384375,1,TRUE,FALSE,TRUE,TRUE,org.apache.spark.serializer.JavaSerializer,602198,tpch,application_1563454629476_0770,20,,,,
6,20,31,48,FALSE,659,0.640625,0.640625,13,FALSE,68,475,578,1.625,0.96875,4,snappy,29,68,TRUE,752,124,429,1371875,7,TRUE,FALSE,TRUE,TRUE,org.apache.spark.serializer.KryoSerializer,860544,tpch,application_1563454629476_0810,20,,,,
13,39,11,27,TRUE,164,0.890625,0.890625,76,TRUE,5,875,128,3.625,0.46875,8,lzf,92,5,FALSE,1520,61,204,1321875,2,FALSE,TRUE,FALSE,FALSE,org.apache.spark.serializer.JavaSerializer,601477,tpch,application_1563454629476_0845,20,,,,
3,10,21,38,FALSE,412,0.765625,0.515625,108,TRUE,37,275,803,4.625,0.71875,6,lzf,124,100,TRUE,1904,29,317,1346875,9,FALSE,FALSE,TRUE,FALSE,org.apache.spark.serializer.JavaSerializer,724057,tpch,application_1563454629476_0890,20,,,,
9,29,41,17,TRUE,907,0.515625,0.765625,45,FALSE,100,675,353,2.625,0.21875,2,lz4,61,37,FALSE,1136,92,92,1396875,5,TRUE,TRUE,FALSE,TRUE,org.apache.spark.serializer.KryoSerializer,626030,tpch,application_1563454629476_0929,20,,,,
6,18,9,32,TRUE,149,0.6953125,0.7265625,35,FALSE,110,287,704,4.8125,0.078125,2,lzf,90,82,FALSE,1448,23,310,1326562,2,TRUE,TRUE,FALSE,TRUE,org.apache.spark.serializer.KryoSerializer,848427,tpch,application_1563454629476_0970,20,,,,
12,37,29,11,FALSE,644,0.9453125,0.9765625,98,TRUE,47,687,254,2.8125,0.578125,6,snappy,27,19,TRUE,680,86,85,1376562,7,FALSE,FALSE,TRUE,FALSE,org.apache.spark.serializer.JavaSerializer,574170,tpch,application_1563454629476_1018,20,,,,
