spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size,
5,42,123,28,0,945,0.52734375,0.63671875,91,0,105,444,528,1.15625,0.7578125,83,1,12,64,0,16,123,194,346,5,0,0,0,1,2,138692,wordcount,application_1546625125786_0077,gigantic,138.692
12,23,266,49,1,450,0.77734375,0.88671875,28,1,42,894,33,3.15625,0.2578125,20,2,75,127,1,76,60,419,106,1,1,1,1,0,1,92275,wordcount,application_1546625125786_0078,gigantic,92.275
4,6,34,20,0,265,0.93359375,0.60546875,115,0,65,725,466,3.90625,0.9453125,28,1,83,119,0,23,115,166,256,2,1,1,1,1,1,100216,wordcount,application_1546625125786_0079,gigantic,100.216
11,25,177,41,1,760,0.68359375,0.85546875,52,1,2,275,961,1.90625,0.4453125,91,3,20,56,1,83,52,391,496,6,0,0,0,0,2,93952,wordcount,application_1546625125786_0080,gigantic,93.952
7,15,105,31,0,512,0.55859375,0.73046875,20,1,34,950,713,2.90625,0.6953125,123,2,52,87,0,113,20,53,136,4,0,1,1,0,2,92728,wordcount,application_1546625125786_0081,gigantic,92.728
15,34,248,10,1,17,0.80859375,0.98046875,83,0,97,500,218,4.90625,0.1953125,60,3,115,24,1,53,83,278,376,8,1,0,0,1,1,90017,wordcount,application_1546625125786_0082,gigantic,90.017
6,11,70,36,0,883,0.62109375,0.91796875,99,1,18,163,342,4.40625,0.5703125,44,2,36,8,1,68,67,447,196,5,1,0,0,1,2,77698,wordcount,application_1546625125786_0083,gigantic,77.698
13,30,212,15,1,388,0.87109375,0.66796875,36,0,81,613,837,2.40625,0.0703125,107,1,99,71,0,8,4,222,436,9,0,1,1,0,1,90291,wordcount,application_1546625125786_0084,gigantic,90.291
2,20,141,26,0,141,0.99609375,0.79296875,4,0,113,388,590,1.40625,0.8203125,75,3,67,40,1,38,36,334,76,3,0,0,0,0,1,156433,wordcount,application_1546625125786_0085,gigantic,156.433
9,39,283,47,1,636,0.74609375,0.54296875,67,1,50,838,95,3.40625,0.3203125,12,2,4,103,0,98,99,109,316,7,1,1,1,1,2,105039,wordcount,application_1546625125786_0086,gigantic,105.039
2,14,292,16,0,296,0.73046875,0.80859375,111,1,85,360,930,4.78125,0.4140625,16,2,64,67,0,87,64,236,331,7,0,0,1,0,1,122315,wordcount,application_1546625125786_0087,gigantic,122.315
10,33,150,37,1,791,0.98046875,0.55859375,48,0,22,810,435,2.78125,0.9140625,79,1,127,4,1,27,127,461,91,3,1,1,0,1,2,99951,wordcount,application_1546625125786_0088,gigantic,99.951
6,5,221,48,0,543,0.85546875,0.93359375,16,0,54,135,187,1.78125,0.1640625,111,3,95,99,0,57,95,123,451,5,1,0,1,1,2,99624,wordcount,application_1546625125786_0089,gigantic,99.624
14,24,79,27,1,48,0.60546875,0.68359375,79,1,117,585,682,3.78125,0.6640625,48,1,32,36,1,117,32,348,211,1,0,1,0,0,1,88794,wordcount,application_1546625125786_0090,gigantic,88.794
8,19,257,43,0,914,0.79296875,0.74609375,127,0,6,922,806,3.28125,0.0390625,64,1,79,52,1,12,16,405,271,6,0,1,0,0,2,90549,wordcount,application_1546625125786_0091,gigantic,90.549
15,38,114,22,1,419,0.54296875,0.99609375,64,1,69,472,311,1.28125,0.5390625,127,2,16,115,0,72,79,180,31,2,1,0,1,1,1,91198,wordcount,application_1546625125786_0092,gigantic,91.198
4,10,185,11,0,172,0.66796875,0.62109375,32,1,101,697,64,2.28125,0.2890625,95,2,48,20,1,102,111,292,391,9,1,1,0,1,1,91844,wordcount,application_1546625125786_0093,gigantic,91.844
12,29,43,32,1,667,0.91796875,0.87109375,95,0,38,247,559,4.28125,0.7890625,32,3,111,83,0,42,48,67,151,4,0,0,1,0,2,92316,wordcount,application_1546625125786_0094,gigantic,92.316
5,36,239,14,0,605,0.76171875,0.65234375,56,1,77,528,992,4.53125,0.4765625,24,2,119,91,1,125,103,320,61,5,0,0,1,1,2,138376,wordcount,application_1546625125786_0095,gigantic,138.376
13,17,96,35,1,110,0.51171875,0.90234375,119,0,14,978,497,2.53125,0.9765625,87,3,56,28,0,65,40,95,301,9,1,1,0,0,1,88668,wordcount,application_1546625125786_0096,gigantic,88.668
1,26,168,45,0,358,0.63671875,0.52734375,87,0,46,303,249,1.53125,0.2265625,119,1,24,123,1,35,8,433,181,2,1,0,1,0,1,477118,wordcount,application_1546625125786_0097,gigantic,477.118
9,7,25,24,1,853,0.88671875,0.77734375,24,1,109,753,744,3.53125,0.7265625,56,2,87,60,0,95,71,208,421,7,0,1,0,1,2,81726,wordcount,application_1546625125786_0098,gigantic,81.726
3,40,275,40,0,234,0.69921875,0.83984375,40,0,30,866,868,3.03125,0.1015625,40,3,8,44,0,50,87,151,121,1,0,1,0,1,1,197537,wordcount,application_1546625125786_0099,gigantic,197.537
11,21,132,19,1,729,0.94921875,0.58984375,103,1,93,416,373,1.03125,0.6015625,103,2,71,107,1,110,24,376,361,6,1,0,1,0,2,88979,wordcount,application_1546625125786_0100,gigantic,88.979
7,31,203,8,0,976,0.82421875,0.96484375,71,1,125,641,126,2.03125,0.3515625,71,3,103,12,0,80,56,264,241,4,1,1,0,0,2,109827,wordcount,application_1546625125786_0101,gigantic,109.827
14,12,61,29,1,481,0.57421875,0.71484375,8,0,62,191,621,4.03125,0.8515625,8,1,40,75,1,20,119,489,481,8,0,0,1,1,1,78862,wordcount,application_1546625125786_0102,gigantic,78.862
2,34,208,21,1,713,0.64453125,0.78515625,10,0,56,655,141,2.46875,0.9609375,6,1,65,62,1,119,62,102,188,6,0,0,1,1,1,274589,wordcount,application_1546625125786_0103,gigantic,274.589
10,15,65,42,0,218,0.89453125,0.53515625,73,1,119,205,636,4.46875,0.4609375,69,3,2,125,0,59,125,327,428,1,1,1,0,0,2,91981,wordcount,application_1546625125786_0104,gigantic,91.981
6,24,279,31,1,466,0.76953125,0.91015625,105,1,87,880,883,3.46875,0.7109375,101,1,34,30,1,29,93,215,68,8,1,0,1,0,2,118964,wordcount,application_1546625125786_0105,gigantic,118.964
14,5,137,10,0,961,0.51953125,0.66015625,42,0,24,430,388,1.46875,0.2109375,38,2,97,93,0,89,30,440,308,4,0,1,0,1,1,90931,wordcount,application_1546625125786_0106,gigantic,90.931
4,39,172,37,1,95,0.83203125,0.72265625,26,1,103,317,17,1.96875,0.5859375,54,3,50,77,0,44,14,383,248,9,0,1,0,1,2,163145,wordcount,application_1546625125786_0107,gigantic,163.145
