19,19,snappy,snappy,FALSE,FALSE,89,89,4,4,FALSE,FALSE,50,50,FALSE,FALSE,65,65,14,14,FALSE,FALSE,TRUE,TRUE,497,497,161,161,TRUE,TRUE,364,364,90,90,41,41,0.851017993,0.851017993,124,124,121,121,6,6,FALSE,FALSE,0.922102353,0.922102353,0.641070539,0.641070539,83,83,110,110,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,479,479,2.191236063,2.191236063,,89702,wordcount,application_1546745555717_0105,gigantic
29,29,lz4,lz4,FALSE,FALSE,108,108,9,9,TRUE,TRUE,35,35,FALSE,FALSE,122,122,15,15,FALSE,FALSE,FALSE,FALSE,304,304,101,101,FALSE,FALSE,290,290,36,36,46,46,0.951573554,0.951573554,472,472,13,13,124,124,TRUE,TRUE,0.712927053,0.712927053,0.296359488,0.296359488,63,63,104,104,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,389,389,4.691039392,4.691039392,,91698,wordcount,application_1546745555717_0106,gigantic
19,19,snappy,snappy,FALSE,FALSE,89,89,4,4,FALSE,FALSE,35,35,FALSE,FALSE,65,65,14,14,FALSE,FALSE,TRUE,TRUE,497,497,161,161,TRUE,TRUE,364,364,90,90,41,41,0.851017993,0.851017993,124,124,121,121,6,6,FALSE,FALSE,0.922102353,0.922102353,0.641070539,0.641070539,83,83,110,110,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,441,441,2.191236063,2.191236063,,89619,wordcount,application_1546745555717_0107,gigantic
19,19,snappy,snappy,FALSE,FALSE,89,89,4,4,FALSE,FALSE,50,50,FALSE,FALSE,65,65,4,4,FALSE,FALSE,TRUE,TRUE,497,497,161,161,TRUE,TRUE,364,364,122,122,41,41,0.851017993,0.851017993,124,124,121,121,6,6,FALSE,FALSE,0.922102353,0.922102353,0.641070539,0.641070539,83,83,110,110,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,479,479,2.191236063,2.191236063,,105756,wordcount,application_1546745555717_0108,gigantic
19,19,snappy,snappy,TRUE,TRUE,89,89,4,4,FALSE,FALSE,50,50,FALSE,FALSE,65,65,13,13,FALSE,FALSE,TRUE,TRUE,497,497,161,161,TRUE,TRUE,364,364,70,70,41,41,0.851017993,0.851017993,445,445,35,35,6,6,FALSE,FALSE,0.922102353,0.922102353,0.641070539,0.641070539,83,83,110,110,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,479,479,2.191236063,2.191236063,,89209,wordcount,application_1546745555717_0109,gigantic
19,19,snappy,snappy,FALSE,FALSE,89,89,4,4,FALSE,FALSE,50,50,FALSE,FALSE,65,65,14,14,FALSE,FALSE,TRUE,TRUE,497,497,161,161,TRUE,TRUE,364,364,62,62,41,41,0.851017993,0.851017993,124,124,121,121,6,6,FALSE,FALSE,0.922102353,0.922102353,0.641070539,0.641070539,83,83,302,302,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,479,479,2.191236063,2.191236063,,88788,wordcount,application_1546745555717_0110,gigantic
19,19,snappy,snappy,FALSE,FALSE,89,89,4,4,FALSE,FALSE,50,50,FALSE,FALSE,65,65,14,14,FALSE,FALSE,TRUE,TRUE,497,497,161,161,TRUE,TRUE,364,364,62,62,41,41,0.851017993,0.851017993,124,124,121,121,86,86,FALSE,FALSE,0.922102353,0.922102353,0.641070539,0.641070539,83,83,302,302,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,479,479,2.191236063,2.191236063,,89492,wordcount,application_1546745555717_0111,gigantic
19,19,snappy,snappy,FALSE,FALSE,69,69,4,4,FALSE,FALSE,50,50,FALSE,FALSE,65,65,14,14,FALSE,FALSE,TRUE,TRUE,497,497,161,161,TRUE,TRUE,758,758,62,62,41,41,0.851017993,0.851017993,124,124,121,121,6,6,FALSE,FALSE,0.531232985,0.531232985,0.641070539,0.641070539,60,60,302,302,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,479,479,2.191236063,2.191236063,,91019,wordcount,application_1546745555717_0112,gigantic
19,19,snappy,snappy,FALSE,FALSE,79,79,4,4,FALSE,FALSE,50,50,FALSE,FALSE,20,20,14,14,FALSE,FALSE,TRUE,TRUE,192,192,161,161,TRUE,TRUE,364,364,62,62,41,41,0.673736575,0.673736575,124,124,121,121,6,6,FALSE,FALSE,0.922102353,0.922102353,0.641070539,0.641070539,94,94,302,302,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,479,479,2.191236063,2.191236063,,89932,wordcount,application_1546745555717_0113,gigantic
21,21,snappy,snappy,FALSE,FALSE,89,89,4,4,FALSE,FALSE,50,50,FALSE,FALSE,65,65,14,14,FALSE,FALSE,TRUE,TRUE,497,497,161,161,TRUE,TRUE,364,364,62,62,41,41,0.729150071,0.729150071,331,331,2,2,6,6,FALSE,FALSE,0.922102353,0.922102353,0.641070539,0.641070539,83,83,302,302,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,479,479,2.191236063,2.191236063,,93558,wordcount,application_1546745555717_0114,gigantic
