spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size
8,29,259,25,1,907,0.515625,0.765625,45,0,100,634,288,2.625,0.21875,5,3,37,124,0,34,92,92,245,5,1,1,0,1,2,288953,tpch,application_1540980293743_2054,20
4,18,32,33,1,149,0.6953125,0.7265625,35,0,110,198,675,4.8125,0.078125,7,2,82,35,0,77,23,310,357,2,1,1,0,1,2,303502,tpch,application_1540980293743_2054,20
12,37,174,12,0,644,0.9453125,0.9765625,98,1,47,648,180,2.8125,0.578125,70,1,19,98,1,17,86,85,117,7,0,0,1,0,1,287605,tpch,application_1540980293743_2054,20
1,9,246,23,1,891,0.8203125,0.6015625,66,1,15,423,922,1.8125,0.328125,102,3,114,66,0,107,118,422,237,5,0,1,0,0,1,388826,tpch,application_1540980293743_2054,20
8,28,103,44,0,396,0.5703125,0.8515625,3,0,78,873,427,3.8125,0.828125,39,2,51,3,1,47,55,197,477,9,1,0,1,1,2,319684,tpch,application_1540980293743_2054,20
3,23,281,17,1,520,0.7578125,0.7890625,51,1,63,760,56,3.3125,0.453125,55,1,35,51,1,92,39,366,177,3,1,0,1,1,1,443179,tpch,application_1540980293743_2054,20
10,42,139,38,0,25,0.5078125,0.5390625,114,0,126,310,551,1.3125,0.953125,118,2,98,114,0,32,102,141,417,8,0,1,0,0,2,299561,tpch,application_1540980293743_2054,20
6,13,67,49,1,272,0.6328125,0.9140625,82,0,94,985,303,2.3125,0.203125,86,1,3,82,1,122,70,478,297,1,0,0,1,0,2,233024,tpch,application_1540980293743_2054,20
14,32,210,28,0,767,0.8828125,0.6640625,19,1,31,535,798,4.3125,0.703125,23,3,66,19,0,62,7,253,57,6,1,1,0,1,1,298994,tpch,application_1540980293743_2054,20
2,35,50,41,1,953,0.7890625,0.8203125,122,0,118,254,365,4.5625,0.015625,31,2,74,43,1,24,78,338,87,5,1,1,0,0,1,596078,tpch,application_1540980293743_2054,20
9,16,192,20,0,458,0.5390625,0.5703125,59,1,55,704,860,2.5625,0.515625,94,3,11,106,0,84,15,113,327,1,0,0,1,1,2,256386,tpch,application_1540980293743_2054,20
5,25,263,9,1,211,0.6640625,0.9453125,27,1,23,479,118,1.5625,0.265625,126,1,106,74,1,54,47,450,447,7,0,1,0,1,2,405146,tpch,application_1540980293743_2054,20
13,6,121,30,0,706,0.9140625,0.6953125,90,0,86,929,613,3.5625,0.765625,63,3,43,11,0,114,110,225,207,3,1,0,1,0,1,265608,tpch,application_1540980293743_2054,20
7,40,299,25,1,334,0.7265625,0.6328125,106,1,39,592,984,3.0625,0.390625,47,3,59,59,0,9,126,282,387,9,1,0,1,0,2,343834,tpch,application_1540980293743_2054,20
15,21,157,46,0,829,0.9765625,0.8828125,43,0,102,142,489,1.0625,0.890625,110,1,122,122,1,69,63,57,147,4,0,1,0,1,1,283857,tpch,application_1540980293743_2054,20
4,30,85,36,1,582,0.8515625,0.5078125,11,0,70,817,737,2.0625,0.140625,78,2,27,90,0,39,31,394,27,6,0,0,1,1,1,398348,tpch,application_1540980293743_2054,20
11,11,228,15,0,87,0.6015625,0.7578125,74,1,7,367,242,4.0625,0.640625,15,1,90,27,1,99,94,169,267,2,1,1,0,0,2,273555,tpch,application_1540980293743_2054,20
4,24,130,19,1,984,0.6171875,0.5234375,102,1,98,845,458,3.6875,0.609375,11,3,126,102,1,126,3,211,492,4,0,0,0,1,1,374489,tpch,application_1540980293743_2054,20
12,5,272,40,0,489,0.8671875,0.7734375,39,0,35,395,953,1.6875,0.109375,74,1,63,39,0,66,66,436,252,8,1,1,1,0,2,328725,tpch,application_1540980293743_2054,20
8,34,201,29,1,242,0.9921875,0.6484375,7,0,3,620,211,2.6875,0.859375,106,2,94,7,1,96,98,99,132,1,1,0,0,0,2,279694,tpch,application_1540980293743_2054,20
15,15,59,8,0,737,0.7421875,0.8984375,70,1,66,170,706,4.6875,0.359375,43,1,31,70,0,36,35,324,372,6,0,1,1,1,1,258568,tpch,application_1540980293743_2054,20
6,29,165,45,1,365,0.9296875,0.9609375,118,0,51,507,829,4.1875,0.984375,59,2,15,118,0,111,51,267,72,3,0,1,1,1,2,328825,tpch,application_1540980293743_2054,20
13,10,23,24,0,860,0.6796875,0.7109375,55,1,114,957,334,2.1875,0.484375,122,3,78,55,1,51,114,492,312,7,1,0,0,0,1,286121,tpch,application_1540980293743_2054,20
2,38,94,13,1,613,0.5546875,0.8359375,23,1,82,282,582,1.1875,0.734375,90,1,47,23,0,81,82,155,432,5,1,1,1,0,1,614915,tpch,application_1540980293743_2054,20
