FALSE,FALSE,lz4,lz4,TRUE,TRUE,76,76,4,4,14,14,89,89,TRUE,TRUE,81,81,14,14,TRUE,TRUE,TRUE,TRUE,142,142,219,219,TRUE,TRUE,267,267,59,59,45,45,0.781763372,0.781763372,61,61,20,20,89,89,FALSE,FALSE,0.574056782,0.574056782,0.085501998,0.085501998,16,16,283,283,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,115,115,4.818220915,4.818220915,,292063,tpch,application_1543991612114_0107,20
FALSE,FALSE,lz4,lz4,TRUE,TRUE,76,76,4,4,14,14,89,89,TRUE,TRUE,81,81,4,4,TRUE,TRUE,TRUE,TRUE,142,142,219,219,TRUE,TRUE,267,267,59,59,46,46,0.758344198,0.758344198,61,61,20,20,89,89,FALSE,FALSE,0.574056782,0.574056782,0.903042176,0.903042176,16,16,283,283,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,115,115,4.818220915,4.818220915,,277246,tpch,application_1543991612114_0107,20
FALSE,FALSE,lz4,lz4,TRUE,TRUE,76,76,4,4,14,14,89,89,TRUE,TRUE,81,81,14,14,TRUE,TRUE,TRUE,TRUE,142,142,136,136,TRUE,TRUE,120,120,59,59,45,45,0.781763372,0.781763372,320,320,20,20,89,89,FALSE,FALSE,0.574056782,0.574056782,0.085501998,0.085501998,16,16,283,283,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,115,115,4.818220915,4.818220915,,279064,tpch,application_1543991612114_0107,20
TRUE,TRUE,lz4,lz4,TRUE,TRUE,76,76,9,9,14,14,65,65,TRUE,TRUE,81,81,14,14,FALSE,FALSE,TRUE,TRUE,142,142,219,219,TRUE,TRUE,267,267,59,59,45,45,0.781763372,0.781763372,61,61,20,20,89,89,FALSE,FALSE,0.574056782,0.574056782,0.085501998,0.085501998,16,16,283,283,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,115,115,4.850859897,4.850859897,,329955,tpch,application_1543991612114_0107,20
FALSE,FALSE,lz4,lz4,TRUE,TRUE,76,76,4,4,14,14,89,89,TRUE,TRUE,81,81,14,14,TRUE,TRUE,TRUE,TRUE,756,756,219,219,TRUE,TRUE,267,267,59,59,45,45,0.87061594,0.87061594,61,61,20,20,44,44,FALSE,FALSE,0.574056782,0.574056782,0.063842983,0.063842983,16,16,283,283,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,115,115,4.818220915,4.818220915,,302499,tpch,application_1543991612114_0107,20
FALSE,FALSE,lzf,lzf,FALSE,FALSE,31,31,10,10,5,5,125,125,TRUE,TRUE,75,75,15,15,FALSE,FALSE,FALSE,FALSE,274,274,210,210,FALSE,FALSE,452,452,18,18,35,35,0.692506896,0.692506896,83,83,112,112,9,9,FALSE,FALSE,0.947318715,0.947318715,0.286049938,0.286049938,50,50,204,204,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,982,982,1.777661107,1.777661107,,331857,tpch,application_1543991612114_0107,20
FALSE,FALSE,lz4,lz4,FALSE,FALSE,27,27,6,6,27,27,15,15,TRUE,TRUE,42,42,2,2,FALSE,FALSE,TRUE,TRUE,492,492,61,61,FALSE,FALSE,248,248,14,14,16,16,0.64767089,0.64767089,224,224,123,123,119,119,TRUE,TRUE,0.585815474,0.585815474,0.382735667,0.382735667,16,16,143,143,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,368,368,1.93348357,1.93348357,,641133,tpch,application_1543991612114_0107,20
TRUE,TRUE,snappy,snappy,TRUE,TRUE,98,98,5,5,22,22,4,4,TRUE,TRUE,12,12,15,15,FALSE,FALSE,FALSE,FALSE,598,598,248,248,FALSE,FALSE,955,955,124,124,39,39,0.977454569,0.977454569,333,333,91,91,28,28,TRUE,TRUE,0.767912623,0.767912623,0.365277716,0.365277716,2,2,303,303,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,864,864,1.135587511,1.135587511,,282383,tpch,application_1543991612114_0107,20
TRUE,TRUE,lz4,lz4,TRUE,TRUE,45,45,3,3,5,5,12,12,FALSE,FALSE,122,122,16,16,FALSE,FALSE,TRUE,TRUE,377,377,200,200,FALSE,FALSE,924,924,38,38,36,36,0.517442153,0.517442153,126,126,126,126,64,64,TRUE,TRUE,0.732283364,0.732283364,0.878554414,0.878554414,28,28,204,204,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,624,624,3.982357424,3.982357424,,270906,tpch,application_1543991612114_0107,20
TRUE,TRUE,snappy,snappy,FALSE,FALSE,83,83,2,2,42,42,46,46,TRUE,TRUE,99,99,7,7,FALSE,FALSE,TRUE,TRUE,77,77,271,271,FALSE,FALSE,345,345,114,114,28,28,0.747811708,0.747811708,430,430,5,5,109,109,FALSE,FALSE,0.995301676,0.995301676,0.146491914,0.146491914,112,112,266,266,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,188,188,3.128378566,3.128378566,,838613,tpch,application_1543991612114_0107,20
TRUE,TRUE,lzf,lzf,FALSE,FALSE,57,57,2,2,16,16,75,75,TRUE,TRUE,32,32,12,12,TRUE,TRUE,FALSE,FALSE,288,288,139,139,FALSE,FALSE,913,913,122,122,27,27,0.914652186,0.914652186,496,496,95,95,38,38,TRUE,TRUE,0.737188909,0.737188909,0.939513595,0.939513595,65,65,271,271,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,738,738,2.353726112,2.353726112,,535951,tpch,application_1543991612114_0107,20
FALSE,FALSE,lz4,lz4,FALSE,FALSE,4,4,1,1,41,41,61,61,FALSE,FALSE,19,19,16,16,FALSE,FALSE,TRUE,TRUE,693,693,70,70,TRUE,TRUE,470,470,106,106,23,23,0.775889508,0.775889508,267,267,26,26,105,105,FALSE,FALSE,0.996729011,0.996729011,0.89340132,0.89340132,98,98,138,138,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,763,763,1.798997943,1.798997943,,234611,tpch,application_1543991612114_0107,20
FALSE,FALSE,snappy,snappy,FALSE,FALSE,17,17,7,7,31,31,35,35,TRUE,TRUE,23,23,8,8,TRUE,TRUE,FALSE,FALSE,103,103,48,48,FALSE,FALSE,136,136,121,121,34,34,0.990035235,0.990035235,292,292,76,76,83,83,FALSE,FALSE,0.9462546,0.9462546,0.669181979,0.669181979,19,19,377,377,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,660,660,1.357528118,1.357528118,,301579,tpch,application_1543991612114_0107,20
FALSE,FALSE,lz4,lz4,TRUE,TRUE,121,121,1,1,36,36,92,92,FALSE,FALSE,103,103,11,11,FALSE,FALSE,TRUE,TRUE,433,433,29,29,TRUE,TRUE,982,982,102,102,15,15,0.665130109,0.665130109,193,193,107,107,86,86,TRUE,TRUE,0.9100724,0.9100724,0.193382207,0.193382207,83,83,78,78,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,91,91,4.761253491,4.761253491,,258985,tpch,application_1543991612114_0107,20
FALSE,FALSE,snappy,snappy,TRUE,TRUE,51,51,8,8,30,30,22,22,FALSE,FALSE,68,68,4,4,TRUE,TRUE,TRUE,TRUE,869,869,226,226,TRUE,TRUE,709,709,83,83,32,32,0.900278701,0.900278701,274,274,126,126,65,65,TRUE,TRUE,0.687908857,0.687908857,0.808485944,0.808485944,28,28,185,185,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,462,462,1.44615707,1.44615707,,415221,tpch,application_1543991612114_0107,20
spark.shuffle.spill.compress,spark.memory.offHeap.enabled,spark.shuffle.compress,spark.speculation,spark.broadcast.compress,spark.rdd.compress,spark.kryo.referenceTracking,spark.io.compression.codec,spark.serializer,spark.executor.instances,spark.executor.cores,spark.executor.memory,spark.default.parallelism,MB.spark.memory.offHeap.size,Size.spark.shuffle.file.buffer,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,MB.spark.broadcast.blockSize,Size.spark.io.compression.lz4.blockSize,Size.spark.io.compression.snappy.blockSize,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.memory.storageFraction,spark.memory.fraction,spark.speculation.multiplier,spark.speculation.quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
