spark.shuffle.spill.compress,spark.memory.offHeap.enabled,spark.shuffle.compress,spark.speculation,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.serializer,spark.executor.instances,spark.executor.cores,spark.executor.memory,Size.spark.broadcat.blockSize,spark.default.parallelism,hibench.default.map.parallelism,spark.memory.storageFraction,spark.memory.fraction,Size.spark.memory.offHeap.size,Size.spark.shuffle.file.buffer,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,MB.spark.broadcast.blockSize,Size.spark.io.compression.lz4.blockSize,Size.spark.io.compression.snappy.blockSize,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,spark.memory.storageFraction,spark.memory.fraction,spark.speculation.multiplier,spark.speculation.quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP ID 
spark.shuffle.spill.compress,spark.memory.offHeap.enabled,spark.shuffle.compress,spark.speculation,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.serializer,spark.executor.instances,spark.executor.cores,spark.executor.memory,Size.spark.broadcat.blockSize,spark.default.parallelism,hibench.default.map.parallelism,spark.memory.storageFraction,spark.memory.fraction,MB.spark.memory.offHeap.size,Size.spark.shuffle.file.buffer,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,MB.spark.broadcast.blockSize,Size.spark.io.compression.lz4.blockSize,Size.spark.io.compression.snappy.blockSize,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,spark.memory.storageFraction,spark.memory.fraction,spark.speculation.multiplier,spark.speculation.quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spark.shuffle.spill.compress,spark.memory.offHeap.enabled,spark.shuffle.compress,spark.speculation,spark.broadcast.compress,spark.rdd.compress,spark.kryo.referenceTracking,spark.io.compression.codec,spark.serializer,spark.executor.instances,spark.executor.cores,spark.executor.memory,Size.spark.broadcat.blockSize,spark.default.parallelism,hibench.default.map.parallelism,spark.memory.storageFraction,spark.memory.fraction,MB.spark.memory.offHeap.size,Size.spark.shuffle.file.buffer,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,MB.spark.broadcast.blockSize,Size.spark.io.compression.lz4.blockSize,Size.spark.io.compression.snappy.blockSize,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,spark.memory.storageFraction,spark.memory.fraction,spark.speculation.multiplier,spark.speculation.quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spark.shuffle.spill.compress,spark.memory.offHeap.enabled,spark.shuffle.compress,spark.speculation,spark.broadcast.compress,spark.rdd.compress,spark.kryo.referenceTracking,spark.io.compression.codec,spark.serializer,spark.executor.instances,spark.executor.cores,spark.executor.memory,hibench.default.map.parallelism,MB.spark.memory.offHeap.size,Size.spark.shuffle.file.buffer,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,MB.spark.broadcast.blockSize,Size.spark.io.compression.lz4.blockSize,Size.spark.io.compression.snappy.blockSize,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.memory.storageFraction,spark.memory.fraction,spark.speculation.multiplier,spark.speculation.quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,lzf,lzf,TRUE,TRUE,49,49,6,6,11,11,105,105,TRUE,TRUE,39,39,2,2,FALSE,FALSE,FALSE,FALSE,468,468,166,166,FALSE,FALSE,268,268,101,101,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,0.670486894,0.670486894,402,402,8,8,13,13,TRUE,TRUE,0.941150056,0.941150056,0.933417345,0.933417345,122,122,246,246,32,32,589,589,1.900126473,1.900126473,303001,
19,19,snappy,snappy,TRUE,TRUE,27,27,1,1,FALSE,FALSE,54,54,TRUE,TRUE,48,48,16,16,TRUE,TRUE,TRUE,TRUE,776,776,220,220,FALSE,FALSE,419,419,55,55,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,0.594105966,0.594105966,106,106,122,122,108,108,TRUE,TRUE,0.536563139,0.536563139,0.412721414,0.412721414,124,124,172,172,42,42,228,228,1.494563157,1.494563157,274672,
14,14,snappy,snappy,TRUE,TRUE,21,21,1,1,FALSE,FALSE,43,43,TRUE,TRUE,32,32,16,16,TRUE,TRUE,TRUE,TRUE,844,844,220,220,TRUE,TRUE,419,419,55,55,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,0.594105966,0.594105966,179,179,126,126,104,104,TRUE,TRUE,0.637047243,0.637047243,0.423440605,0.423440605,124,124,174,174,43,43,228,228,2.111405961,2.111405961,264180,
5,5,snappy,snappy,TRUE,TRUE,21,21,1,1,FALSE,FALSE,54,54,TRUE,TRUE,48,48,16,16,TRUE,TRUE,TRUE,TRUE,811,811,257,257,TRUE,TRUE,352,352,49,49,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,0.594105966,0.594105966,106,106,115,115,104,104,TRUE,TRUE,0.661986008,0.661986008,0.412721414,0.412721414,118,118,155,155,40,40,228,228,2.382702837,2.382702837,270840,
12,12,lz4,lz4,TRUE,TRUE,21,21,1,1,FALSE,FALSE,53,53,TRUE,TRUE,48,48,16,16,TRUE,TRUE,FALSE,FALSE,844,844,220,220,TRUE,TRUE,486,486,55,55,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,0.594105966,0.594105966,106,106,126,126,104,104,TRUE,TRUE,0.59875242,0.59875242,0.296343702,0.296343702,108,108,174,174,37,37,226,226,2.111405961,2.111405961,271505,
TRUE,TRUE,snappy,snappy,FALSE,FALSE,33,33,8,8,25,25,27,27,FALSE,FALSE,25,25,4,4,FALSE,FALSE,TRUE,TRUE,772,772,242,242,TRUE,TRUE,403,403,93,93,19,19,0.901004218,0.901004218,307,307,25,25,27,27,TRUE,TRUE,0.988946246,0.988946246,0.75019536,0.75019536,11,11,185,185,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,503,503,3.401958433,3.401958433,323988,
FALSE,FALSE,snappy,snappy,TRUE,TRUE,74,74,8,8,26,26,80,80,TRUE,TRUE,64,64,11,11,FALSE,FALSE,FALSE,FALSE,499,499,254,254,TRUE,TRUE,562,562,11,11,41,41,0.553394059,0.553394059,117,117,38,38,91,91,FALSE,FALSE,0.684986778,0.684986778,0.429483441,0.429483441,82,82,290,290,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,598,598,4.789438319,4.789438319,278119,
TRUE,TRUE,lz4,lz4,TRUE,TRUE,126,126,3,3,10,10,85,85,TRUE,TRUE,50,50,7,7,TRUE,TRUE,TRUE,TRUE,671,671,239,239,FALSE,FALSE,728,728,89,89,24,24,0.539395062,0.539395062,390,390,95,95,85,85,FALSE,FALSE,0.852923379,0.852923379,0.855536907,0.855536907,18,18,33,33,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,603,603,1.833185025,1.833185025,295217,
FALSE,FALSE,lz4,lz4,TRUE,TRUE,16,16,3,3,43,43,97,97,TRUE,TRUE,115,115,13,13,FALSE,FALSE,FALSE,FALSE,745,745,186,186,FALSE,FALSE,120,120,92,92,20,20,0.532382775,0.532382775,385,385,100,100,99,99,FALSE,FALSE,0.883898426,0.883898426,0.344153914,0.344153914,122,122,150,150,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,455,455,1.775851458,1.775851458,313128,
14,14,snappy,snappy,TRUE,TRUE,21,21,1,1,FALSE,FALSE,31,31,FALSE,FALSE,32,32,16,16,TRUE,TRUE,TRUE,TRUE,844,844,217,217,TRUE,TRUE,433,433,55,55,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,0.594105966,0.594105966,187,187,126,126,104,104,TRUE,TRUE,0.563553483,0.563553483,0.576181393,0.576181393,127,127,174,174,40,40,228,228,2.111405961,2.111405961,266497,
